"gs","gene"
"tcell.activation","TNFSF14"
"tcell.activation","CD40LG"
"tcell.activation","TNFRSF9"
"tcell.activation","TNFRSF4"
"tcell.activation","TNFRSF25"
"tcell.activation","TNFRSF18"
"tcell.activation","TNFRSF8"
"tcell.activation","SLAMF1"
"tcell.activation","CD2"
"tcell.activation","CD226"
"cytolytic.score","GZMA"
"cytolytic.score","GZMH"
"cytolytic.score","GZMM"
"cytolytic.score","PRF1"
"cytolytic.score","GNLY"
"ifng","TIGIT"
"ifng","CXCR6"
"ifng","CXCL9"
"ifng","CD27"
"ifng","CMKLR1"
"ifng","HLA-DQA1"
"ifng","CD8A"
"ifng","NKG7"
"ifng","CD276"
"ifng","PDCD1LG2"
"ifng","CCL5"
"ifng","STAT1"
"ifng","LAG3"
"ifng","PSMB10"
"ifng","HLA-DRB1"
"ifng","CD274"
"ifng","IDO1"
"ifng","HLA-E"
"ifn1","MX1"
"ifn1","TNFSF10"
"ifn1","RSAD2"
"ifn1","IFIT1"
"ifn1","IFIT3"
"ifn1","IFIT2"
"ifn1","IRF7"
"ifn1","DDX4"
"ifn1","MX2"
"ifn1","ISG20"
